subsub-3201815,ses2,	sub4288245,ses2,	subsub-4288245,ses1,	sub3201815,ses1,	sub3795193,ses1,	subsub-3795193,ses2,	subsub-3201815,ses1,	sub4288245,ses1,	subsub-4288245,ses2,	sub3201815,ses2,	sub3795193,ses2,	subsub-3795193,ses1,	subsub-0021018,ses1,	subsub-4176156,ses2,	sub3808535,ses1,	sub4176156,ses1,	subsub-3808535,ses2,	sub0021018,ses2,	subsub-3313349,ses2,	subsub-0021001,ses1,	sub3313349,ses1,	sub0021001,ses2,	subsub-0021018,ses2,	subsub-4176156,ses1,	sub3808535,ses2,	sub4176156,ses2,	subsub-3808535,ses1,	sub0021018,ses1,	subsub-0021001,ses2,	subsub-3313349,ses1,	sub0021001,ses1,	sub3313349,ses2,	subsub-0021006,ses2,	sub0021006,ses1,	subsub-0021006,ses1,	sub0021006,ses2,	subsub-0021024,ses2,	subsub-0021002,ses1,	sub0021024,ses1,	sub0021002,ses2,	subsub-0021002,ses2,	subsub-0021024,ses1,	sub0021002,ses1,	sub0021024,ses2,	subsub-7055197,ses1,	sub7055197,ses2,	subsub-9630905,ses1,	sub9630905,ses2,	subsub-7055197,ses2,	sub7055197,ses1,	subsub-9630905,ses2,	sub9630905,ses1,	sub1793622,ses1,	sub8735778,ses2,	subsub-8735778,ses1,	subsub-1793622,ses2,	sub2475376,ses2,	subsub-2799329,ses1,	sub2799329,ses2,	subsub-2475376,ses1,	sub1793622,ses2,	sub8735778,ses1,	subsub-8735778,ses2,	subsub-1793622,ses1,	sub2475376,ses1,	subsub-2799329,ses2,	sub2799329,ses1,	subsub-2475376,ses2,	sub1961098,ses1,	subsub-1961098,ses2,	subsub-3315657,ses2,	sub3315657,ses1,	sub1961098,ses2,	subsub-1961098,ses1,	subsub-3315657,ses1,	sub3315657,ses2,	subsub-2842950,ses1,	sub2842950,ses2,	subsub-2842950,ses2,	sub2842950,ses1,
degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,	degree,count,
40,1,	40,1,	38,2,	37,1,	39,1,	39,1,	37,1,	38,2,	40,1,	40,1,	39,1,	39,1,	43,1,	44,1,	35,1,	43,1,	39,2,	42,1,	42,1,	49,1,	40,1,	42,1,	42,1,	43,1,	39,2,	44,1,	35,1,	43,1,	42,1,	40,1,	49,1,	42,1,	39,1,	39,1,	39,1,	39,1,	35,1,	39,1,	35,2,	38,2,	38,2,	35,2,	39,1,	35,1,	42,1,	41,1,	40,1,	40,2,	41,1,	42,1,	40,2,	40,1,	40,1,	42,1,	41,1,	38,1,	41,1,	39,1,	37,1,	41,1,	38,1,	41,1,	42,1,	40,1,	41,1,	37,1,	39,1,	41,1,	39,1,	41,1,	37,1,	38,2,	41,1,	39,1,	38,2,	37,1,	41,1,	44,1,	44,1,	41,1,
37,1,	37,1,	28,2,	36,1,	38,1,	38,1,	36,1,	28,2,	37,1,	37,1,	38,1,	38,1,	41,1,	36,1,	34,1,	39,1,	30,1,	41,1,	38,1,	46,1,	38,1,	39,1,	41,1,	39,1,	30,1,	36,1,	34,1,	41,1,	39,1,	38,1,	46,1,	38,1,	37,1,	38,1,	38,1,	37,1,	34,1,	36,1,	26,2,	30,1,	30,1,	26,2,	36,1,	34,1,	40,1,	37,1,	36,1,	32,1,	37,1,	40,1,	32,1,	36,1,	38,1,	40,1,	39,1,	36,1,	39,1,	35,1,	36,1,	40,1,	36,1,	39,1,	40,1,	38,1,	40,1,	36,1,	35,1,	39,1,	38,1,	38,1,	35,1,	29,2,	38,1,	38,1,	29,2,	35,1,	40,1,	42,1,	42,1,	40,1,
31,4,	31,1,	27,1,	29,1,	26,2,	32,1,	29,1,	27,1,	31,1,	31,4,	32,1,	26,2,	30,1,	27,2,	27,1,	27,1,	28,1,	28,3,	31,1,	39,1,	33,1,	32,1,	28,3,	27,1,	28,1,	27,2,	27,1,	30,1,	32,1,	33,1,	39,1,	31,1,	34,1,	33,1,	33,1,	34,1,	30,1,	30,1,	23,1,	26,1,	26,1,	23,1,	30,1,	30,1,	28,2,	27,1,	30,1,	30,1,	27,1,	28,2,	30,1,	30,1,	29,1,	33,1,	34,2,	32,1,	31,1,	29,1,	28,1,	33,1,	32,1,	34,2,	33,1,	29,1,	33,1,	28,1,	29,1,	31,1,	32,1,	31,1,	28,1,	24,1,	31,1,	32,1,	24,1,	28,1,	34,1,	36,1,	36,1,	34,1,
29,1,	27,1,	26,1,	28,2,	25,1,	29,1,	28,2,	26,1,	27,1,	29,1,	29,1,	25,1,	29,1,	25,2,	23,1,	26,1,	27,1,	27,1,	29,1,	38,1,	29,2,	28,1,	27,1,	26,1,	27,1,	25,2,	23,1,	29,1,	28,1,	29,2,	38,1,	29,1,	30,2,	31,1,	31,1,	30,2,	26,1,	26,1,	22,1,	25,2,	25,2,	22,1,	26,1,	26,1,	27,1,	26,3,	28,1,	29,1,	26,3,	27,1,	29,1,	28,1,	26,2,	31,1,	29,1,	26,1,	30,1,	28,2,	26,1,	30,1,	26,1,	29,1,	31,1,	26,2,	30,1,	26,1,	28,2,	30,1,	30,2,	28,2,	27,1,	23,2,	28,2,	30,2,	23,2,	27,1,	33,1,	33,1,	33,1,	33,1,
27,1,	26,4,	25,1,	27,1,	22,1,	26,2,	27,1,	25,1,	26,4,	27,1,	26,2,	22,1,	28,1,	24,1,	21,2,	22,3,	25,1,	26,1,	28,2,	33,1,	26,2,	26,1,	26,1,	22,3,	25,1,	24,1,	21,2,	28,1,	26,1,	26,2,	33,1,	28,2,	28,2,	27,1,	27,1,	28,2,	25,1,	24,2,	21,3,	23,3,	23,3,	21,3,	24,2,	25,1,	25,2,	24,2,	27,1,	28,1,	24,2,	25,2,	28,1,	27,1,	25,1,	28,1,	28,1,	24,2,	29,1,	25,2,	25,2,	29,1,	24,2,	28,1,	28,1,	25,1,	29,1,	25,2,	25,2,	29,1,	27,2,	27,2,	25,1,	22,1,	27,2,	27,2,	22,1,	25,1,	31,1,	32,1,	32,1,	31,1,
25,1,	25,1,	24,2,	25,1,	21,2,	25,2,	25,1,	24,2,	25,1,	25,1,	25,2,	21,2,	27,1,	22,1,	19,2,	20,1,	23,2,	25,1,	27,2,	29,1,	25,1,	24,2,	25,1,	20,1,	23,2,	22,1,	19,2,	27,1,	24,2,	25,1,	29,1,	27,2,	26,4,	26,2,	26,2,	26,4,	24,1,	23,4,	20,1,	22,1,	22,1,	20,1,	23,4,	24,1,	24,3,	23,3,	25,2,	26,1,	23,3,	24,3,	26,1,	25,2,	24,2,	27,1,	23,4,	23,3,	27,2,	24,2,	24,2,	28,1,	23,3,	23,4,	27,1,	24,2,	28,1,	24,2,	24,2,	27,2,	26,1,	26,2,	24,1,	21,1,	26,2,	26,1,	21,1,	24,1,	30,1,	29,1,	29,1,	30,1,
24,3,	23,3,	22,2,	24,2,	19,4,	24,1,	24,2,	22,2,	23,3,	24,3,	24,1,	19,4,	26,1,	20,3,	18,6,	19,2,	22,1,	24,1,	26,1,	28,1,	24,3,	22,2,	24,1,	19,2,	22,1,	20,3,	18,6,	26,1,	22,2,	24,3,	28,1,	26,1,	25,1,	24,2,	24,2,	25,1,	22,1,	19,1,	18,1,	19,1,	19,1,	18,1,	19,1,	22,1,	23,1,	22,3,	23,1,	23,3,	22,3,	23,1,	23,3,	23,1,	23,2,	24,1,	22,2,	22,1,	26,1,	22,2,	23,2,	26,1,	22,1,	22,2,	24,1,	23,2,	26,1,	23,2,	22,2,	26,1,	25,1,	25,1,	23,1,	20,2,	25,1,	25,1,	20,2,	23,1,	29,1,	27,4,	27,4,	29,1,
23,1,	21,2,	21,2,	22,4,	18,3,	23,2,	22,4,	21,2,	21,2,	23,1,	23,2,	18,3,	25,2,	19,1,	17,4,	18,2,	20,4,	21,1,	24,2,	27,4,	22,3,	21,4,	21,1,	18,2,	20,4,	19,1,	17,4,	25,2,	21,4,	22,3,	27,4,	24,2,	24,1,	23,3,	23,3,	24,1,	20,4,	18,2,	17,3,	18,3,	18,3,	17,3,	18,2,	20,4,	22,2,	21,2,	22,2,	22,1,	21,2,	22,2,	22,1,	22,2,	19,1,	23,2,	21,2,	20,1,	25,1,	21,2,	21,1,	25,1,	20,1,	21,2,	23,2,	19,1,	25,1,	21,1,	21,2,	25,1,	23,1,	23,2,	22,1,	19,1,	23,2,	23,1,	19,1,	22,1,	28,1,	26,1,	26,1,	28,1,
22,1,	20,1,	18,2,	21,1,	17,3,	21,3,	21,1,	18,2,	20,1,	22,1,	21,3,	17,3,	22,1,	18,3,	16,3,	17,2,	19,5,	20,4,	23,1,	26,2,	20,2,	20,2,	20,4,	17,2,	19,5,	18,3,	16,3,	22,1,	20,2,	20,2,	26,2,	23,1,	23,2,	22,2,	22,2,	23,2,	18,2,	17,6,	16,1,	17,5,	17,5,	16,1,	17,6,	18,2,	21,4,	20,3,	21,1,	21,2,	20,3,	21,4,	21,2,	21,1,	17,2,	21,3,	20,3,	18,1,	22,3,	20,1,	20,3,	23,2,	18,1,	20,3,	21,3,	17,2,	23,2,	20,3,	20,1,	22,3,	22,4,	21,2,	21,1,	18,2,	21,2,	22,4,	18,2,	21,1,	27,1,	25,2,	25,2,	27,1,
